Date,code,name,market,industry,ticker,Close,prob_up,pred_return,pred_price
2026-04-09,6806,森崴能源,TWSE,Other,6806.TW,25.399999618530277,0.8026541051070563,0.05686063447320481,26.844259712459067
2026-04-09,2314,台揚,TWSE,Communication,2314.TW,12.449999809265137,0.6713407550689903,0.03615308265136076,12.900105681378925
2026-04-09,3064,泰偉,TPEX,Other,3064.TWO,20.649999618530277,0.6629667447580843,0.04234661035395882,21.52445710618558
2026-04-09,3712,永崴投控,TWSE,Computer,3712.TW,17.200000762939453,0.6232284170789408,0.013946235719270889,17.439876027951044
2026-04-09,6894,衛司特,TPEX,Other,6894.TWO,386.0,0.619313257578137,0.016158284155351955,392.2370976839659
2026-04-09,3664,安瑞-KY,TPEX,Communication,3664.TWO,8.800000190734863,0.6097391765677547,0.17115731891955902,10.30618462987265
2026-04-09,6218,豪勉,TPEX,Communication,6218.TWO,34.54999923706055,0.601890763397193,0.014302267396892665,35.04414256471142
2026-04-09,6213,聯茂,TWSE,Electronics,6213.TW,216.5,0.5915025026710204,0.0013983694612654646,216.80274698836396
2026-04-09,2702,華園,TWSE,觀光餐旅,2702.TW,14.300000190734863,0.5897062431959675,0.010401081976821403,14.44873566498726
2026-04-09,6903,巨漢,TPEX,Electronics,6903.TWO,355.5,0.5893881005016242,0.019774116158111168,362.5296982942085
